Entity,Code,Year,Mean male height (cm),Mean female height (cm)
Afghanistan,AFG,1896,161.1640953,149.1877469
Afghanistan,AFG,1897,161.196286,149.3214511
Afghanistan,AFG,1898,161.2282966,149.4554945
Afghanistan,AFG,1899,161.2607274,149.5895027
Afghanistan,AFG,1900,161.2930682,149.7235866
Afghanistan,AFG,1901,161.325492,149.8575727
Afghanistan,AFG,1902,161.3583553,149.990929
Afghanistan,AFG,1903,161.3912147,150.1236349
Afghanistan,AFG,1904,161.4239893,150.2551397
Afghanistan,AFG,1905,161.4567642,150.3858006
Afghanistan,AFG,1906,161.4894043,150.5156773
Afghanistan,AFG,1907,161.5229355,150.6447313
Afghanistan,AFG,1908,161.5572929,150.7731144
Afghanistan,AFG,1909,161.5924115,150.9009151
Afghanistan,AFG,1910,161.6288848,151.0291214
Afghanistan,AFG,1911,161.6678293,151.1580202
Afghanistan,AFG,1912,161.7097565,151.2876394
Afghanistan,AFG,1913,161.7544944,151.4182271
Afghanistan,AFG,1914,161.8015948,151.5494946
Afghanistan,AFG,1915,161.8512242,151.6815492
Afghanistan,AFG,1916,161.9029869,151.8143589
Afghanistan,AFG,1917,161.9569878,151.9479341
Afghanistan,AFG,1918,162.0126184,152.0818659
Afghanistan,AFG,1919,162.0692287,152.2152263
Afghanistan,AFG,1920,162.1259389,152.3483928
Afghanistan,AFG,1921,162.1826578,152.4805703
Afghanistan,AFG,1922,162.2384477,152.6116338
Afghanistan,AFG,1923,162.2938166,152.7408145
Afghanistan,AFG,1924,162.3493607,152.8686282
Afghanistan,AFG,1925,162.4063756,152.9969321
Afghanistan,AFG,1926,162.4658093,153.1260991
Afghanistan,AFG,1927,162.5287465,153.2559327
Afghanistan,AFG,1928,162.5953253,153.386198
Afghanistan,AFG,1929,162.6649787,153.5170542
Afghanistan,AFG,1930,162.7363663,153.6479176
Afghanistan,AFG,1931,162.8085523,153.777238
Afghanistan,AFG,1932,162.8802754,153.9049255
Afghanistan,AFG,1933,162.9518219,154.0315107
Afghanistan,AFG,1934,163.0234031,154.1574317
Afghanistan,AFG,1935,163.0949112,154.2824779
Afghanistan,AFG,1936,163.16596,154.4070149
Afghanistan,AFG,1937,163.2362977,154.5304755
Afghanistan,AFG,1938,163.305397,154.6517789
Afghanistan,AFG,1939,163.3729943,154.7702419
Afghanistan,AFG,1940,163.4389961,154.8844495
Afghanistan,AFG,1941,163.5041548,154.9943579
Afghanistan,AFG,1942,163.5700656,155.1000154
Afghanistan,AFG,1943,163.6382848,155.2028713
Afghanistan,AFG,1944,163.7087534,155.3027743
Afghanistan,AFG,1945,163.7810528,155.3998738
Afghanistan,AFG,1946,163.855399,155.4944527
Afghanistan,AFG,1947,163.9310933,155.5857843
Afghanistan,AFG,1948,164.0073807,155.6738118
Afghanistan,AFG,1949,164.0832287,155.7584173
Afghanistan,AFG,1950,164.1575871,155.8399879
Afghanistan,AFG,1951,164.2290702,155.918107
Afghanistan,AFG,1952,164.2967149,155.9911579
Afghanistan,AFG,1953,164.3606172,156.059593
Afghanistan,AFG,1954,164.4204793,156.1228768
Afghanistan,AFG,1955,164.476951,156.1811184
Afghanistan,AFG,1956,164.5306042,156.2341843
Afghanistan,AFG,1957,164.5831243,156.2825629
Afghanistan,AFG,1958,164.6357244,156.3269191
Afghanistan,AFG,1959,164.6887788,156.3674914
Afghanistan,AFG,1960,164.7427774,156.4042493
Afghanistan,AFG,1961,164.7971321,156.4368567
Afghanistan,AFG,1962,164.8498304,156.4648743
Afghanistan,AFG,1963,164.8991445,156.4864367
Afghanistan,AFG,1964,164.9436129,156.5001938
Afghanistan,AFG,1965,164.9831305,156.5053679
Afghanistan,AFG,1966,165.0189045,156.5027059
Afghanistan,AFG,1967,165.051753,156.4926916
Afghanistan,AFG,1968,165.0826591,156.4757498
Afghanistan,AFG,1969,165.1135003,156.4520633
Afghanistan,AFG,1970,165.1439626,156.4219567
Afghanistan,AFG,1971,165.1741494,156.3859504
Afghanistan,AFG,1972,165.2040674,156.345173
Afghanistan,AFG,1973,165.2338289,156.3003343
Afghanistan,AFG,1974,165.2631103,156.2527388
Afghanistan,AFG,1975,165.2911729,156.2019973
Afghanistan,AFG,1976,165.3169361,156.1482631
Afghanistan,AFG,1977,165.3389782,156.0917982
Afghanistan,AFG,1978,165.3567716,156.0330477
Afghanistan,AFG,1979,165.3707432,155.9732265
Afghanistan,AFG,1980,165.3812914,155.9140505
Afghanistan,AFG,1981,165.3896357,155.8564589
Afghanistan,AFG,1982,165.3959387,155.8011638
Afghanistan,AFG,1983,165.3993526,155.7485768
Afghanistan,AFG,1984,165.3999634,155.6977367
Afghanistan,AFG,1985,165.3971222,155.6478653
Afghanistan,AFG,1986,165.3909148,155.5984577
Afghanistan,AFG,1987,165.3812397,155.5483848
Afghanistan,AFG,1988,165.3687054,155.4969068
Afghanistan,AFG,1989,165.3550563,155.4447859
Afghanistan,AFG,1990,165.340645,155.3916298
Afghanistan,AFG,1991,165.3261648,155.3387925
Afghanistan,AFG,1992,165.3120761,155.2860545
Afghanistan,AFG,1993,165.2981032,155.2336604
Afghanistan,AFG,1994,165.2841484,155.1807514
Afghanistan,AFG,1995,165.2701323,155.1279494
Afghanistan,AFG,1996,165.2558607,155.0753231
Albania,ALB,1896,163.3251405,150.1961307
Albania,ALB,1897,163.4664286,150.4136587
Albania,ALB,1898,163.6081043,150.6314349
Albania,ALB,1899,163.7499,150.8489403
Albania,ALB,1900,163.8918524,151.0665928
Albania,ALB,1901,164.0341812,151.2836351
Albania,ALB,1902,164.1765785,151.5002703
Albania,ALB,1903,164.3191517,151.715943
Albania,ALB,1904,164.4619655,151.9305539
Albania,ALB,1905,164.604732,152.1440493
Albania,ALB,1906,164.7471545,152.3563349
Albania,ALB,1907,164.889747,152.5676352
Albania,ALB,1908,165.0328649,152.7779751
Albania,ALB,1909,165.175903,152.9871906
Albania,ALB,1910,165.3195701,153.1958303
Albania,ALB,1911,165.4652524,153.4045768
Albania,ALB,1912,165.6130697,153.6142209
Albania,ALB,1913,165.762062,153.8249284
Albania,ALB,1914,165.9119581,154.0365273
Albania,ALB,1915,166.0628185,154.2492373
Albania,ALB,1916,166.2141824,154.4632564
Albania,ALB,1917,166.3654336,154.6787415
Albania,ALB,1918,166.5162231,154.894423
Albania,ALB,1919,166.6650012,155.1085921
Albania,ALB,1920,166.8105446,155.3211624
Albania,ALB,1921,166.9518565,155.5306115
Albania,ALB,1922,167.0882407,155.736112
Albania,ALB,1923,167.2198433,155.9365691
Albania,ALB,1924,167.3479803,156.1321947
Albania,ALB,1925,167.4752804,156.3240679
Albania,ALB,1926,167.6036546,156.5120054
Albania,ALB,1927,167.7356023,156.696115
Albania,ALB,1928,167.8714713,156.877027
Albania,ALB,1929,168.0114638,157.0549365
Albania,ALB,1930,168.1551437,157.2302674
Albania,ALB,1931,168.3012698,157.4014605
Albania,ALB,1932,168.4486779,157.5691332
Albania,ALB,1933,168.5975891,157.7336293
Albania,ALB,1934,168.7477664,157.8958937
Albania,ALB,1935,168.8986963,158.0556877
Albania,ALB,1936,169.0499284,158.212557
Albania,ALB,1937,169.200771,158.3665078
Albania,ALB,1938,169.3504527,158.5170021
Albania,ALB,1939,169.4994214,158.6632163
Albania,ALB,1940,169.6483128,158.8048655
Albania,ALB,1941,169.7977261,158.94094
Albania,ALB,1942,169.9493324,159.0716499
Albania,ALB,1943,170.1045284,159.1974707
Albania,ALB,1944,170.2628933,159.319378
Albania,ALB,1945,170.4244876,159.4380185
Albania,ALB,1946,170.5896339,159.5539641
Albania,ALB,1947,170.7572009,159.6666618
Albania,ALB,1948,170.9270706,159.7759085
Albania,ALB,1949,171.0979507,159.882223
Albania,ALB,1950,171.2685404,159.9865718
Albania,ALB,1951,171.4377637,160.0898523
Albania,ALB,1952,171.6041685,160.1914928
Albania,ALB,1953,171.7668696,160.2919076
Albania,ALB,1954,171.9261965,160.3909647
Albania,ALB,1955,172.0827375,160.4893776
Albania,ALB,1956,172.2357464,160.5869674
Albania,ALB,1957,172.3862695,160.6843231
Albania,ALB,1958,172.5346774,160.7825063
Albania,ALB,1959,172.6800257,160.8817351
Albania,ALB,1960,172.8223915,160.9815323
Albania,ALB,1961,172.9608808,161.0816993
Albania,ALB,1962,173.0940685,161.1811605
Albania,ALB,1963,173.2191786,161.277285
Albania,ALB,1964,173.3346446,161.3681694
Albania,ALB,1965,173.4406076,161.4526954
Albania,ALB,1966,173.5378249,161.5309021
Albania,ALB,1967,173.627109,161.6032172
Albania,ALB,1968,173.7082846,161.6698032
Albania,ALB,1969,173.7825754,161.7308378
Albania,ALB,1970,173.850303,161.7858332
Albania,ALB,1971,173.9113278,161.8351088
Albania,ALB,1972,173.9650673,161.8781679
Albania,ALB,1973,174.0117739,161.9157541
Albania,ALB,1974,174.0505541,161.9476807
Albania,ALB,1975,174.0815889,161.9739872
Albania,ALB,1976,174.1041677,161.994412
Albania,ALB,1977,174.1168945,162.008346
Albania,ALB,1978,174.1199161,162.0159293
Albania,ALB,1979,174.1136579,162.0181352
Albania,ALB,1980,174.1004181,162.0169173
Albania,ALB,1981,174.082172,162.013127
Albania,ALB,1982,174.0590177,162.0079855
Albania,ALB,1983,174.0313185,162.0023184
Albania,ALB,1984,173.9999356,161.9952931
Albania,ALB,1985,173.9630378,161.9864249
Albania,ALB,1986,173.9211807,161.9751304
Albania,ALB,1987,173.8748376,161.9607155
Albania,ALB,1988,173.8245812,161.9428469
Albania,ALB,1989,173.7719013,161.9226509
Albania,ALB,1990,173.7178605,161.9006473
Albania,ALB,1991,173.6634553,161.8783534
Albania,ALB,1992,173.6087279,161.8559756
Albania,ALB,1993,173.5541174,161.8339882
Albania,ALB,1994,173.4989242,161.8123464
Albania,ALB,1995,173.4438953,161.7910763
Albania,ALB,1996,173.3888563,161.7698561
Algeria,DZA,1896,160.3880782,151.8636633
Algeria,DZA,1897,160.6022438,152.0006015
Algeria,DZA,1898,160.8164971,152.1378528
Algeria,DZA,1899,161.0310715,152.2752403
Algeria,DZA,1900,161.2460556,152.4126022
Algeria,DZA,1901,161.460899,152.5493506
Algeria,DZA,1902,161.6759963,152.6859638
Algeria,DZA,1903,161.8915061,152.821752
Algeria,DZA,1904,162.1068665,152.956511
Algeria,DZA,1905,162.3223953,153.0905752
Algeria,DZA,1906,162.5378347,153.2239664
Algeria,DZA,1907,162.7532288,153.3565974
Algeria,DZA,1908,162.9695259,153.4883044
Algeria,DZA,1909,163.1861911,153.6194729
Algeria,DZA,1910,163.4043539,153.7501785
Algeria,DZA,1911,163.624464,153.88107
Algeria,DZA,1912,163.8476961,154.0127594
Algeria,DZA,1913,164.0738262,154.1456713
Algeria,DZA,1914,164.3025196,154.2794874
Algeria,DZA,1915,164.5339267,154.414636
Algeria,DZA,1916,164.7679003,154.550972
Algeria,DZA,1917,165.0044161,154.6885124
Algeria,DZA,1918,165.2443308,154.827485
Algeria,DZA,1919,165.4854059,154.9667916
Algeria,DZA,1920,165.726265,155.1059347
Algeria,DZA,1921,165.9652788,155.2441328
Algeria,DZA,1922,166.2005195,155.3810622
Algeria,DZA,1923,166.4308093,155.5153587
Algeria,DZA,1924,166.6554063,155.6475479
Algeria,DZA,1925,166.8749673,155.7783586
Algeria,DZA,1926,167.0891604,155.9075849
Algeria,DZA,1927,167.2997761,156.0354153
Algeria,DZA,1928,167.506997,156.1622126
Algeria,DZA,1929,167.7106326,156.288869
Algeria,DZA,1930,167.9105663,156.4154997
Algeria,DZA,1931,168.1062409,156.5409563
Algeria,DZA,1932,168.296774,156.6658658
Algeria,DZA,1933,168.4829454,156.7908594
Algeria,DZA,1934,168.6655066,156.916
Algeria,DZA,1935,168.8447255,157.0406114
Algeria,DZA,1936,169.0198421,157.1642043
Algeria,DZA,1937,169.1911212,157.2860602
Algeria,DZA,1938,169.3581788,157.4047769
Algeria,DZA,1939,169.5215233,157.5208664
Algeria,DZA,1940,169.6814897,157.6339813
Algeria,DZA,1941,169.8384081,157.7436915
Algeria,DZA,1942,169.9928818,157.8497394
Algeria,DZA,1943,170.1460581,157.9534649
Algeria,DZA,1944,170.2964968,158.0555708
Algeria,DZA,1945,170.4433256,158.1564557
Algeria,DZA,1946,170.5858,158.2560162
Algeria,DZA,1947,170.7217874,158.3538507
Algeria,DZA,1948,170.8510885,158.4489562
Algeria,DZA,1949,170.9723808,158.5414834
Algeria,DZA,1950,171.0857574,158.6317104
Algeria,DZA,1951,171.1910278,158.7199389
Algeria,DZA,1952,171.2888226,158.8050557
Algeria,DZA,1953,171.3808737,158.887324
Algeria,DZA,1954,171.4684786,158.9663591
Algeria,DZA,1955,171.5514604,159.0424017
Algeria,DZA,1956,171.6303833,159.1145451
Algeria,DZA,1957,171.7061482,159.1833104
Algeria,DZA,1958,171.7791009,159.2491248
Algeria,DZA,1959,171.8490216,159.3112349
Algeria,DZA,1960,171.9157367,159.369951
Algeria,DZA,1961,171.978911,159.4248012
Algeria,DZA,1962,172.0366407,159.4748983
Algeria,DZA,1963,172.0875635,159.5187888
Algeria,DZA,1964,172.1300054,159.5558111
Algeria,DZA,1965,172.1654926,159.5858059
Algeria,DZA,1966,172.1963965,159.6102607
Algeria,DZA,1967,172.2241947,159.6304918
Algeria,DZA,1968,172.2490298,159.6463924
Algeria,DZA,1969,172.2726637,159.6575693
Algeria,DZA,1970,172.2949806,159.6632804
Algeria,DZA,1971,172.3144782,159.6642035
Algeria,DZA,1972,172.3301168,159.6606786
Algeria,DZA,1973,172.3411875,159.6535319
Algeria,DZA,1974,172.3462595,159.6447384
Algeria,DZA,1975,172.3426266,159.6331414
Algeria,DZA,1976,172.327746,159.6194198
Algeria,DZA,1977,172.2983643,159.6025214
Algeria,DZA,1978,172.2540071,159.582681
Algeria,DZA,1979,172.195546,159.5609345
Algeria,DZA,1980,172.1243978,159.5387109
Algeria,DZA,1981,172.0425902,159.5168304
Algeria,DZA,1982,171.9510867,159.496405
Algeria,DZA,1983,171.8496587,159.477182
Algeria,DZA,1984,171.7388166,159.4586045
Algeria,DZA,1985,171.6189501,159.4396396
Algeria,DZA,1986,171.4907542,159.4193894
Algeria,DZA,1987,171.3557109,159.3971508
Algeria,DZA,1988,171.2162769,159.3714795
Algeria,DZA,1989,171.0746603,159.3426592
Algeria,DZA,1990,170.9312927,159.3104028
Algeria,DZA,1991,170.7879805,159.2764103
Algeria,DZA,1992,170.6453718,159.2409742
Algeria,DZA,1993,170.502638,159.204707
Algeria,DZA,1994,170.3592965,159.1667228
Algeria,DZA,1995,170.2157974,159.1281135
Algeria,DZA,1996,170.0718002,159.0896222
American Samoa,ASM,1896,169.7157095,158.1973839
American Samoa,ASM,1897,169.7487526,158.2914518
American Samoa,ASM,1898,169.7819706,158.3859226
American Samoa,ASM,1899,169.8156709,158.4801496
American Samoa,ASM,1900,169.8497501,158.5739947
American Samoa,ASM,1901,169.8849792,158.6669457
American Samoa,ASM,1902,169.9209943,158.7588119
American Samoa,ASM,1903,169.9582362,158.848432
American Samoa,ASM,1904,169.9967678,158.9359617
American Samoa,ASM,1905,170.0361651,159.021196
American Samoa,ASM,1906,170.0767294,159.1036552
American Samoa,ASM,1907,170.1186944,159.1833659
American Samoa,ASM,1908,170.162128,159.2606759
American Samoa,ASM,1909,170.2068605,159.3357163
American Samoa,ASM,1910,170.2535635,159.408794
American Samoa,ASM,1911,170.3030541,159.4803839
American Samoa,ASM,1912,170.3549655,159.5512102
American Samoa,ASM,1913,170.4090172,159.6209197
American Samoa,ASM,1914,170.4645111,159.6901366
American Samoa,ASM,1915,170.5217252,159.7589564
American Samoa,ASM,1916,170.5803803,159.8279246
American Samoa,ASM,1917,170.6400304,159.8967764
American Samoa,ASM,1918,170.700504,159.9656687
American Samoa,ASM,1919,170.7593294,160.033971
American Samoa,ASM,1920,170.816121,160.1020585
American Samoa,ASM,1921,170.8700874,160.1695175
American Samoa,ASM,1922,170.9199806,160.2357242
American Samoa,ASM,1923,170.9653651,160.300538
American Samoa,ASM,1924,171.0066985,160.3643725
American Samoa,ASM,1925,171.0450389,160.4285054
American Samoa,ASM,1926,171.080861,160.4935068
American Samoa,ASM,1927,171.1152962,160.5591203
American Samoa,ASM,1928,171.1491268,160.6249687
American Samoa,ASM,1929,171.1820514,160.6908503
American Samoa,ASM,1930,171.2137252,160.7564915
American Samoa,ASM,1931,171.2437117,160.8207138
American Samoa,ASM,1932,171.2718408,160.8831809
American Samoa,ASM,1933,171.299759,160.9448405
American Samoa,ASM,1934,171.3288075,161.0068188
American Samoa,ASM,1935,171.3601524,161.0695891
American Samoa,ASM,1936,171.3940877,161.1337474
American Samoa,ASM,1937,171.4315962,161.1990803
American Samoa,ASM,1938,171.4736691,161.2658842
American Samoa,ASM,1939,171.5201986,161.3343357
American Samoa,ASM,1940,171.5728841,161.4043822
American Samoa,ASM,1941,171.6335355,161.476309
American Samoa,ASM,1942,171.7041133,161.5510402
American Samoa,ASM,1943,171.7865096,161.6299575
American Samoa,ASM,1944,171.8799198,161.7130778
American Samoa,ASM,1945,171.9845179,161.8004944
American Samoa,ASM,1946,172.0999465,161.8926327
American Samoa,ASM,1947,172.224668,161.9889603
American Samoa,ASM,1948,172.3579036,162.0880606
American Samoa,ASM,1949,172.4976847,162.1900198
American Samoa,ASM,1950,172.6431328,162.2947264
American Samoa,ASM,1951,172.7925555,162.4023638
American Samoa,ASM,1952,172.9442645,162.5116437
American Samoa,ASM,1953,173.0979443,162.6225601
American Samoa,ASM,1954,173.2523405,162.7345828
American Samoa,ASM,1955,173.4067137,162.8475188
American Samoa,ASM,1956,173.5604903,162.9611072
American Samoa,ASM,1957,173.7142578,163.0755034
American Samoa,ASM,1958,173.8673911,163.1906395
American Samoa,ASM,1959,174.0186623,163.3059719
American Samoa,ASM,1960,174.1672957,163.4211817
American Samoa,ASM,1961,174.3124395,163.5357047
American Samoa,ASM,1962,174.4527991,163.6480368
American Samoa,ASM,1963,174.5861558,163.7564773
American Samoa,ASM,1964,174.7108303,163.8595261
American Samoa,ASM,1965,174.8269254,163.9567079
American Samoa,ASM,1966,174.9353808,164.0474371
American Samoa,ASM,1967,175.0374674,164.1324089
American Samoa,ASM,1968,175.134385,164.2112305
American Samoa,ASM,1969,175.2275341,164.2840345
American Samoa,ASM,1970,175.3171321,164.3505237
American Samoa,ASM,1971,175.4033581,164.4106593
American Samoa,ASM,1972,175.4861483,164.4642143
American Samoa,ASM,1973,175.5653151,164.5116708
American Samoa,ASM,1974,175.6402194,164.552928
American Samoa,ASM,1975,175.7103491,164.5878369
American Samoa,ASM,1976,175.7745202,164.6161497
American Samoa,ASM,1977,175.8315276,164.6371197
American Samoa,ASM,1978,175.8814446,164.6516787
American Samoa,ASM,1979,175.9244231,164.660467
American Samoa,ASM,1980,175.9618644,164.6652268
American Samoa,ASM,1981,175.994497,164.6669957
American Samoa,ASM,1982,176.0226854,164.6666949
American Samoa,ASM,1983,176.0460851,164.6652708
American Samoa,ASM,1984,176.0645211,164.6624222
American Samoa,ASM,1985,176.0775827,164.6582103
American Samoa,ASM,1986,176.0855639,164.6519594
American Samoa,ASM,1987,176.0888268,164.6432292
American Samoa,ASM,1988,176.0878773,164.6320958
American Samoa,ASM,1989,176.0845385,164.6193918
American Samoa,ASM,1990,176.0794722,164.6056399
American Samoa,ASM,1991,176.0735253,164.5917123
American Samoa,ASM,1992,176.0678768,164.5777585
American Samoa,ASM,1993,176.0623453,164.5638354
American Samoa,ASM,1994,176.0566976,164.5496291
