character,character_mentioned,total_mentions,mentions_lines
Michael,Michael,173,158
Michael,Dwight,354,324
Michael,Jim,226,203
Michael,Pam,326,281
Michael,Andy,66,60
Michael,Angela,49,44
Michael,Kevin,94,84
Michael,Erin,44,44
Michael,Oscar,100,84
Michael,Ryan,143,134
Dwight,Michael,280,254
Dwight,Dwight,109,96
Dwight,Jim,293,256
Dwight,Pam,103,95
Dwight,Andy,65,58
Dwight,Angela,61,55
Dwight,Kevin,41,40
Dwight,Erin,21,20
Dwight,Oscar,29,26
Dwight,Ryan,49,39
Jim,Michael,181,165
Jim,Dwight,259,232
Jim,Jim,46,42
Jim,Pam,188,179
Jim,Andy,53,51
Jim,Angela,17,17
Jim,Kevin,19,16
Jim,Erin,3,3
Jim,Oscar,14,14
Jim,Ryan,22,20
Pam,Michael,262,251
Pam,Dwight,126,118
Pam,Jim,181,166
Pam,Pam,58,54
Pam,Andy,35,34
Pam,Angela,44,42
Pam,Kevin,33,32
Pam,Erin,17,17
Pam,Oscar,26,23
Pam,Ryan,30,30
Andy,Michael,40,40
Andy,Dwight,79,74
Andy,Jim,47,46
Andy,Pam,33,30
Andy,Andy,42,40
Andy,Angela,33,31
Andy,Kevin,20,20
Andy,Erin,78,75
Andy,Oscar,19,18
Andy,Ryan,6,6
Angela,Michael,28,27
Angela,Dwight,81,73
Angela,Jim,11,11
Angela,Pam,31,29
Angela,Andy,23,22
Angela,Angela,10,9
Angela,Kevin,40,36
Angela,Erin,2,2
Angela,Oscar,26,24
Angela,Ryan,1,1
Kevin,Michael,71,70
Kevin,Dwight,12,12
Kevin,Jim,39,37
Kevin,Pam,39,37
Kevin,Andy,19,19
Kevin,Angela,21,19
Kevin,Kevin,23,23
Kevin,Erin,7,7
Kevin,Oscar,36,35
Kevin,Ryan,6,6
Erin,Michael,37,35
Erin,Dwight,23,22
Erin,Jim,12,12
Erin,Pam,27,24
Erin,Andy,92,83
Erin,Angela,9,8
Erin,Kevin,4,4
Erin,Erin,15,15
Erin,Oscar,5,4
Erin,Ryan,3,3
Oscar,Michael,65,65
Oscar,Dwight,22,22
Oscar,Jim,16,16
Oscar,Pam,22,22
Oscar,Andy,29,27
Oscar,Angela,37,36
Oscar,Kevin,34,34
Oscar,Erin,8,8
Oscar,Oscar,5,5
Oscar,Ryan,5,5
Ryan,Michael,43,41
Ryan,Dwight,16,15
Ryan,Jim,18,17
Ryan,Pam,15,15
Ryan,Andy,3,3
Ryan,Angela,2,2
Ryan,Kevin,7,7
Ryan,Erin,5,4
Ryan,Oscar,2,2
Ryan,Ryan,11,10
