country	season_end_year	champion
England	2023	Manchester City
England	2022	Manchester City
England	2021	Manchester City
England	2020	Liverpool FC
England	2019	Manchester City
England	2018	Manchester City
England	2017	Chelsea FC
England	2016	Leicester City
England	2015	Chelsea FC
England	2014	Manchester City
Spain	2023	FC Barcelona
Spain	2022	Athletico Madrid
Spain	2021	Real Madrid
Spain	2020	Real Madrid
Spain	2019	FC Barcelona
Spain	2018	FC Barcelona
Spain	2017	Real Madrid
Spain	2016	FC Barcelona
Spain	2015	FC Barcelona
Spain	2014	Athletico Madrid
Italy	2023	SSC Napoli
Italy	2022	AC Milan
Italy	2021	Internazionale
Italy	2020	Juventus
Italy	2019	Juventus
Italy	2018	Juventus
Italy	2017	Juventus
Italy	2016	Juventus
Italy	2015	Juventus
Italy	2014	Juventus
Germany	2023	Bayern München
Germany	2022	Bayern München
Germany	2021	Bayern München
Germany	2020	Bayern München
Germany	2019	Bayern München
Germany	2018	Bayern München
Germany	2017	Bayern München
Germany	2016	Bayern München
Germany	2015	Bayern München
Germany	2014	Bayern München
France	2023	Paris St. Germain
France	2022	Paris St. Germain
France	2021	Lille OSC
France	2020	Paris St. Germain
France	2019	Paris St. Germain
France	2018	Paris St. Germain
France	2017	AS Monaco
France	2016	Paris St. Germain
France	2015	Paris St. Germain
France	2014	Paris St. Germain
Netherlands	2023	Feyenoord Rotterdam
Netherlands	2022	Ajax Amsterdam
Netherlands	2021	Ajax Amsterdam
Netherlands	2020	Ajax Amsterdam
Netherlands	2019	Ajax Amsterdam
Netherlands	2018	PSV Eindhoven
Netherlands	2017	Feyenoord Rotterdam
Netherlands	2016	PSV Eindhoven
Netherlands	2015	PSV Eindhoven
Netherlands	2014	Ajax Amsterdam
Portugal	2023	Benfica Lissabon
Portugal	2022	FC Porto
Portugal	2021	Sporting Lissabon
Portugal	2020	FC Porto
Portugal	2019	Benfica Lissabon
Portugal	2018	FC Porto
Portugal	2017	Benfica Lissabon
Portugal	2016	Benfica Lissabon
Portugal	2015	Benfica Lissabon
Portugal	2014	Benfica Lissabon
Belgium	2023	Royal Antwerp
Belgium	2022	Club Brügge
Belgium	2021	Club Brügge
Belgium	2020	Club Brügge
Belgium	2019	KRC Gent
Belgium	2018	Club Brügge
Belgium	2017	RSC Anderlecht
Belgium	2016	Club Brügge
Belgium	2015	KAA Gent
Belgium	2014	RSC Anderlecht
Türkiye	2023	Galatasaray
Türkiye	2022	Trabzonspor
Türkiye	2021	Besiktas
Türkiye	2020	Basaksehir
Türkiye	2019	Galatasaray
Türkiye	2018	Galatasaray
Türkiye	2017	Besiktas
Türkiye	2016	Besiktas
Türkiye	2015	Galatasaray
Türkiye	2014	Fenerbahce
Scotland	2023	Celtic Glasgow
Scotland	2022	Celtic Glasgow
Scotland	2021	Glasgow Rangers
Scotland	2020	Celtic Glasgow
Scotland	2019	Celtic Glasgow
Scotland	2018	Celtic Glasgow
Scotland	2017	Celtic Glasgow
Scotland	2016	Celtic Glasgow
Scotland	2015	Celtic Glasgow
Scotland	2014	Celtic Glasgow
