rank	name	position	age	transfer_season	transfer_date	departure_club	departure_league	arrival_club	arrival_league	transfer_fee_eur	nationality
1	Neymar	Left Winger	25	17/18	2017-08-03	Barcelona	LaLiga	Paris SG	Ligue 1	2.22e+08	:br: Brazil
2	Paul Pogba	Central Midfield	23	16/17	2016-08-09	Juventus	Serie A	Man Utd	Premier League	1.05e+08	:fr: France
3	Gareth Bale	Right Winger	24	13/14	2013-09-01	Tottenham	Premier League	Real Madrid	LaLiga	1.01e+08	Wales
4	Cristiano Ronaldo	Centre-Forward	24	09/10	2009-07-06	Man Utd	Premier League	Real Madrid	LaLiga	9.4e+07	:pt: Portugal
5	Zinédine Zidane	Attacking Midfield	29	01/02	2001-07-09	Juventus	Serie A	Real Madrid	LaLiga	77500000	:fr: France
6	Luís Figo	Right Winger	27	00/01	2000-07-24	Barcelona	LaLiga	Real Madrid	LaLiga	6e+07	:pt: Portugal
7	Hernán Crespo	Centre-Forward	25	00/01	2000-07-11	AC Parma	Serie A	Lazio	Serie A	56810000	:ar: Argentina
8	Christian Vieri	Centre-Forward	25	99/00	1999-07-01	Lazio	Serie A	Inter	Serie A	46480000	:it: Italy
9	Denilson	Left Winger	20	98/99	1998-07-01	São Paulo	Série A	Real Betis	LaLiga	31500000	:br: Brazil
10	Ronaldo	Centre-Forward	20	97/98	1997-07-22	Barcelona	LaLiga	Inter	Serie A	26500000	:br: Brazil
11	Sonny Anderson	Centre-Forward	26	97/98	1997-07-01	Monaco	Division 1	Barcelona	LaLiga	26250000	:br: Brazil
12	Alan Shearer	Centre-Forward	25	96/97	1996-07-30	Blackburn	Premier League	Newcastle	Premier League	1.8e+07	:en: England
13	Gianluca Vialli	Centre-Forward	27	92/93	1992-07-01	Sampdoria	Serie A	Juventus	Serie A	16500000	:it: Italy
14	Roberto Baggio	Second Striker	23	90/91	1990-07-01	Fiorentina	Serie A	Juventus	Serie A	12900000	:it: Italy
15	Diego Maradona	Attacking Midfield	23	84/85	1984-07-01	Barcelona	LaLiga	Napoli	Serie A	1.2e+07	:ar: Argentina
