rank	rank_change	country	mbps
1	1	Qatar	286.42
2	-1	United Arab Emirates	284.21
3	-	Kuwait	216.96
4	2	South Korea	173.95
5	-	Denmark	157.94
6	-2	China	144.85
7	-	Norway	141.40
8	2	Iceland	136.91
9	-1	Netherlands	134.15
10	1	Saudi Arabia	125.19
11	1	United States	122.74
12	3	Bulgaria	120.35
13	-4	Bahrain	120.11
14	-	Macau (SAR)	111.29
15	-2	Finland	108.94
16	-	Sweden	103.43
17	1	India	100.65
18	11	Portugal	99.93
19	4	Singapore	99.07
20	-3	Canada	98.40
21	-	Croatia	98.31
22	-3	Luxembourg	97.08
23	-3	Brunei	93.66
24	-2	France	92.47
25	1	Australia	92.00
26	-1	Estonia	91.34
27	-3	Switzerland	90.85
28	2	Malaysia	85.59
29	-1	Latvia	84.19
30	3	Maldives	83.71
31	-4	Lithuania	83.47
32	-1	North Macedonia	80.79
33	-1	Austria	79.96
34	-	Greece	78.17
35	1	Belgium	76.52
36	-1	Taiwan	75.70
37	-	Uruguay	75.69
38	-	Oman	75.22
39	4	New Zealand	71.47
40	1	Slovenia	70.65
41	-2	Czechia	69.49
42	-2	Malta	66.34
43	-1	Hong Kong (SAR)	61.93
44	2	Romania	60.74
45	-1	Cyprus	60.19
46	2	Montenegro	59.09
47	-2	Germany	58.38
48	3	Poland	57.19
49	12	Spain	55.20
50	-1	United Kingdom	53.96
51	-1	Brazil	53.09
52	-5	Serbia	53.05
53	5	Vietnam	51.65
54	-	Slovakia	51.36
55	-3	Albania	50.57
56	-	South Africa	49.79
57	15	Mauritius	49.66
58	-5	Italy	49.26
59	-	Azerbaijan	48.41
60	-5	Japan	48.00
61	-1	Hungary	47.84
62	-	Botswana	47.68
63	-	Thailand	44.60
64	-7	Suriname	42.06
65	-1	Israel	41.83
66	-1	Kosovo	41.38
67	1	Morocco	39.04
68	-1	Turkey	37.66
69	5	Ireland	36.39
70	-1	Kazakhstan	35.71
71	10	Zimbabwe	35.21
72	-6	Georgia	35.09
73	-	Iran	34.71
74	4	Lebanon	33.71
75	2	Trinidad and Tobago	32.87
76	-5	Moldova	32.18
77	3	Uganda	32.11
78	-8	Chile	31.44
79	6	Senegal	31.26
80	-1	Armenia	30.19
81	-5	Laos	29.84
82	5	Philippines	29.65
83	1	Ethiopia	29.49
84	5	Iraq	28.05
85	-2	Jamaica	27.28
86	6	Guatemala	27.27
87	7	Kyrgyzstan	27.25
88	-	Ukraine	27.23
89	9	Cambodia	26.78
90	-15	Côte d'Ivoire	26.76
91	-9	Honduras	26.71
92	13	Namibia	26.59
93	4	El Salvador	26.48
94	-3	Uzbekistan	26.24
95	1	Tanzania	26.20
96	-3	Nigeria	25.79
97	-2	Mexico	25.78
98	-12	Costa Rica	25.73
99	2	Indonesia	25.39
100	2	Argentina	25.36
101	6	Bosnia and Herzegovina	25.35
102	16	Fiji	25.11
103	3	Egypt	25.11
104	-14	Ecuador	24.99
105	-6	Russia	24.64
106	2	Bangladesh	24.19
107	-3	Dominican Republic	24.03
108	2	Myanmar (Burma)	23.69
109	-6	Kenya	23.68
110	6	Jordan	23.12
111	4	Algeria	22.38
112	-1	Tunisia	22.12
113	-4	Guyana	21.29
114	-1	Sri Lanka	19.62
115	8	Zambia	19.59
116	-2	Panama	18.84
117	-	Paraguay	18.11
118	-	Rwanda	18.10
119	1	Mozambique	17.98
120	1	Peru	17.42
121	1	Papua New Guinea	17.32
122	2	Pakistan	17.17
123	-4	DR Congo	17.00
124	3	Libya	16.85
125	-13	Somalia	16.08
126	-	Nepal	14.83
127	5	Colombia	14.77
128	-3	Ghana	13.59
129	5	Syria	13.43
130	-1	Cameroon	13.11
131	-3	Mongolia	12.71
132	-1	Nicaragua	12.70
133	3	Angola	12.17
134	-4	Belarus	11.86
135	-	Venezuela	11.43
136	1	Bolivia	9.92
137	2	Yemen	8.87
138	-	Haiti	8.38
139	1	Tajikistan	8.14
140	2	Sudan	7.50
141	-	Afghanistan	5.07
142	1	Cuba	3.84
143	1	East Timor	3.34
