Entity,Code,Day,Number of parameters,Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,185000000,Language
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,6020000,Language
3D city reconstruction,,2009-09-29,,Other
4 layer QRNN (h=2500),,2018-03-22,26000000,Language
6-Act Tether,,2021-08-03,5000000,Other
6-layer MLP (MNIST),,2010-03-01,12110000,Vision
A3C FF hs,,2016-02-04,,Games
ADALINE,,1960-06-30,17,Vision
ADAM (CIFAR-10),,2014-12-22,,Vision
ADM,,2021-05-11,,Image generation
ALBERT,,2019-09-26,18000000,Language
ALBERT-xxlarge,,2020-02-09,235000000,Language
ALIGN,,2021-06-11,820000000,Multimodal
ALM 1.0,,2022-11-28,,Language
ALVINN,,1989-12-01,3994,Other
AMDIM,,2019-06-03,626000000,Other
AR-LDM,,2022-11-20,1500000000,Multimodal
ASE+ACE,,1983-09-01,324,Games
ATLAS,,2020-05-02,11000000000,Language
AWD-LSTM,,2017-07-18,24000000,Language
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,35000000,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,33000000,Language
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,53000000,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,34000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,35000000,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,35000000,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,35000000,Language
AbLang,,2022-01-22,355000000,Biology
Adaptive Input Transformer + RD,,2021-06-28,247000000,Language
Adaptive Inputs + LayerDrop,,2019-09-25,423000000,Language
Adaptive Subgrad,,2011-10-03,,Other
Advantage Learning,,2015-12-15,,Games
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,60000000,Vision
Agent57,,2020-03-30,,Games
Agile Soccer Robot,,2023-04-26,,Other
AlexNet,,2012-09-30,60000000,Vision
AlexaTM 20B,,2022-08-02,19750000000,Language
AlphaCode,,2022-02-02,41100000000,Language
AlphaFold,,2020-01-15,16340840,Biology
AlphaFold 2,,2020-11-30,,Biology
AlphaFold-Multimer,,2021-10-04,,Biology
AlphaGeometry,,2024-01-17,151000000,Other
AlphaGo Fan,,2015-10-01,8209984,Games
AlphaGo Lee,,2016-01-27,,Games
AlphaGo Master,,2017-01-01,,Games
AlphaGo Zero,,2017-10-18,46400244,Games
AlphaMissense,,2023-09-22,,Biology
AlphaStar,,2019-10-30,139000000,Games
AlphaX-1,,2019-10-02,579000000,Vision
AlphaZero,,2017-12-05,,Games
AltCLIP,,2022-11-12,,Multimodal
AmoebaNet-A (F=190),,2018-02-05,87000000,Vision
AmoebaNet-A (F=448),,2018-02-05,469000000,Vision
Ankh_base,,2023-01-16,450000000,Biology
Ankh_large,,2023-01-16,1150000000,Biology
AudioGen,,2023-03-05,1000000000,Other
AudioLM,,2023-07-26,1500000000,Other
Aya,,2024-02-12,13000000000,Language
BART-large,,2019-10-29,406291460,Language
BASIC-L,,2021-11-19,3070000000,Vision
BASIC-L + Lion,,2023-02-13,3070000000,Vision
BEIT-3,,2022-08-22,1900000000,Multimodal
BERT-Large,,2018-10-11,340000000,Language
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,395000000,Language
BERT-RBP,,2022-04-07,110000000,Biology
BIDAF,,2016-11-05,2600000,Language
BLIP-2 (Q-Former),,2023-01-30,1480000000,Other
BLOOM-176B,,2022-11-08,176247280000,Language
BLOOMZ-176B,,2022-11-03,176000000000,Language
BLSTM for handwriting (1),,2007-09-23,,Vision
BLSTM for handwriting (2),,2007-12-03,100881,Vision
BLUUMI,,2023-11-03,176000000000,Language
BOXES,,1968-07-01,,Games
BPE,,2015-08-31,,Language
BPL,,2015-12-11,,Image generation
Back-propagation,,1986-10-01,144,Other
Base LM + kNN LM + Continuous Cache,,2019-11-01,247000000,Language
BatchNorm,,2015-06-15,,Other
Bayesian automated hyperparameter tuning,,2012-12-02,,Other
BellKor 2007,,2009-09-21,,Other
BellKor 2008,,2009-08-01,,Other
BellKor 2009,,2009-08-01,,Other
BiLSTM for Speech,,2005-08-01,152061,Speech
Bidirectional RNN,,1997-11-01,13000,Speech
Big Transfer (BiT-L),,2019-12-24,928000000,Vision
Big Transformer for Back-Translation,,2018-08-28,,Language
Big-Little Net,,2018-07-10,77360000,Vision
Big-Little Net (speech),,2018-07-10,3320000,Speech
BigBiGAN,,2019-07-04,86000000,Other
BigChaos 2008,,2008-11-25,,Other
BigChaos OptiBlend,,2009-08-01,,Other
BigGAN-deep 512x512,,2018-09-28,112694780,Image generation
BigSSL,,2021-01-10,8000000000,Speech
Binarized Neural Network (MNIST),,2016-03-17,37000000,Vision
BlenderBot 3,,2022-08-10,175000000000,Language
BloombergGPT,,2023-03-30,50558870000,Language
Boss (DARPA Urban Challenge),,2008-07-23,,Other
ByT5-XXL,,2021-05-28,12900000000,Language
CICERO,,2022-11-22,,Games
CLIP (ResNet-50),,2021-01-05,88600000,Multimodal
CLIP (ViT L/14@336px),,2021-01-05,370000000,Multimodal
CNN Best Practices,,2003-08-06,,Vision
CODEFUSION (Python),,2023-10-26,75000000,Language
CPC v2,,2019-05-22,303000000,Other
CPM-Large,,2020-12-01,2600000000,Language
CRF-RNN,,2015-02-11,,Vision
CT-MoS (WT2),,2020-12-25,45000000,Language
CTC-Trained LSTM,,2006-06-25,114662,Speech
CTM (CIFAR-10),,2023-10-01,,Image generation
CURL,,2020-04-08,907264,Games
