Verein	Rohergebnis	Personalaufwand
FC Augsburg	90204	-46622
1. FC Union Berlin	168924	-77977
VfL Bochum	84271	-38497
Werder Bremen	113351	-57211
Borussia Dortmund	498061	-236223
Eintracht Frankfurt	133978	-55899
SC Freiburg	168859	-87844
1. FC Heidenheim	56496	-28450
TSG Hoffenheim	176762	-90138
Holstein Kiel	30495	-17256
RB Leipzig	396235	-192492
Bayer 04 Leverkusen	327274	-151670
1. FSV Mainz 05	124780	-60207
Borussia Mönchengladbach	186804	-102008
FC Bayern München	812258	-415521
FC St. Pauli	53964	-28267
VfB Stuttgart	207843	-105817
VfL Wolfsburg	226560	-113280
