season,episode,rating,rating_count
1,1,8.6,53707
1,2,8.3,45316
1,3,8.8,44683
1,4,8.9,44105
1,5,8.6,42049
1,6,8.8,41912
1,7,9,43807
1,8,9.3,50466
2,1,8.1,40250
2,2,8.2,38472
2,3,8.5,37601
2,4,8.5,37544
2,5,8.8,37823
2,6,9.1,40924
2,7,6,56408
2,8,9.2,43534
2,9,9.3,46548
3,1,7.8,42163
3,2,7.9,39651
3,3,8.2,38083
3,4,8.9,40413
3,5,8.5,37432
3,6,8.5,37649
3,7,8.7,38620
3,8,9.3,53183
4,1,8.1,44223
4,2,8.1,40176
4,3,8.3,39146
4,4,9.5,67219
4,5,8.1,38413
4,6,8.5,39046
4,7,9.6,75900
4,8,8.7,42249
4,9,9.1,58891
5,1,7.9,75081
5,2,8.4,72429
5,3,8.5,72677
5,4,9.4,112811
5,5,7.9,78675
5,6,8,83170
5,7,5.7,175650
5,8,7.8,153406
