year,month,month_date,total_registrations,n_bev,share_bev,n_tesla,share_tesla
2026,3,2026-03-01,294161,70663,0.24021879175009603,9252,0.03145216395103362
2026,2,2026-02-01,211262,46275,0.2190408118828753,2276,0.010773352519620187
2026,1,2026-01-01,193981,42692,0.2200834102308989,1301,0.006706842422711502
2025,12,2025-12-01,246439,54774,0.22226189848197728,2032,0.00824544816364293
2025,11,2025-11-01,250671,55741,0.22236716652504676,1763,0.007033123097606025
2025,10,2025-10-01,250133,52425,0.2095884989185753,750,0.0029984048486205337
2025,9,2025-09-01,235528,45495,0.19316174722326007,3404,0.014452634081722768
2025,8,2025-08-01,207229,39367,0.18996858547790127,1441,0.006953659960719783
2025,7,2025-07-01,264802,48614,0.18358622669013075,1110,0.0041918112400963735
2025,6,2025-06-01,256193,47163,0.18409168088121064,1860,0.007260151526388309
2025,5,2025-05-01,239297,43060,0.17994375190662648,1210,0.005056477933279565
2025,4,2025-04-01,242728,45535,0.18759681618931479,885,0.003646056491216506
2025,3,2025-03-01,253497,42521,0.16773768525860266,2229,0.008793003467496657
2025,2,2025-02-01,203434,35949,0.17671087428846702,1429,0.007024391203043739
2025,1,2025-01-01,207640,34498,0.16614332498555193,1277,0.006150067424388364
2024,12,2024-12-01,224721,33561,0.14934518803316113,3905,0.017377103163478267
2024,11,2024-11-01,244544,35167,0.1438064315624182,2208,0.00902904998691442
2024,10,2024-10-01,231992,35491,0.15298372357667506,1614,0.006957136452981137
2024,9,2024-09-01,208848,34479,0.16509135830843485,3758,0.017993947751474757
2024,8,2024-08-01,197322,27024,0.13695381153647337,2370,0.012010824946027305
2024,7,2024-07-01,238263,30762,0.12910942949597715,2470,0.010366695626261736
2024,6,2024-06-01,297329,43412,0.14600661220398953,4648,0.015632514823646533
2024,5,2024-05-01,236425,29708,0.12565507031828274,1896,0.008019456487258115
2024,4,2024-04-01,243102,29668,0.12203930860297324,1637,0.006733798981497479
2024,3,2024-03-01,263844,31384,0.11894907596913327,3878,0.014698079167993209
2024,2,2024-02-01,217388,27479,0.1264053213608847,6038,0.027775222183377187
2024,1,2024-01-01,213553,22474,0.10523851221944903,3152,0.014759802016361278
2023,12,2023-12-01,241883,54654,0.22595221656751405,4001,0.01654105497285878
2023,11,2023-11-01,245701,44942,0.18291337845592814,4923,0.02003654848779614
2023,10,2023-10-01,218959,37334,0.17050680721048234,3353,0.01531336916957056
2023,9,2023-09-01,224502,31714,0.14126377493296274,4216,0.018779342723004695
2023,8,2023-08-01,273417,86649,0.31691153073876166,6903,0.025247149957756832
2023,7,2023-07-01,243277,48682,0.20010934038154038,3905,0.0160516612750075
2023,6,2023-06-01,280139,52988,0.18914895819575284,8044,0.028714316821292288
2023,5,2023-05-01,246966,42780,0.17322222492164913,5265,0.021318724034887392
2023,4,2023-04-01,202947,29740,0.146540722454631,2420,0.01192429550572317
2023,3,2023-03-01,281361,44125,0.15682699450172555,8703,0.030931792252657617
2023,2,2023-02-01,206210,32475,0.15748508801706998,7711,0.03739391882061976
2023,1,2023-01-01,179247,18136,0.10117882028708988,4241,0.023660089150724976
2022,12,2022-12-01,314318,104325,0.33190908570301414,17501,0.055679280219395645
2022,11,2022-11-01,260512,57980,0.222561724603857,10819,0.04152975678663555
2022,10,2022-10-01,208642,35781,0.1714947134325783,3185,0.015265382808830438
2022,9,2022-09-01,224816,44389,0.19744591132303752,13724,0.06104547719023557
2022,8,2022-08-01,199183,32006,0.16068640396017733,5291,0.026563511946300637
2022,7,2022-07-01,205911,28815,0.139939099902385,1184,0.005750057063488595
2022,6,2022-06-01,224558,32234,0.14354420684188496,2908,0.012949883771675915
2022,5,2022-05-01,207199,29182,0.14084044807166057,293,0.0014140994888971472
2022,4,2022-04-01,180264,22175,0.12301402387609284,650,0.0036058225713398125
2022,3,2022-03-01,241330,34474,0.1428500393651846,8045,0.03333609580242821
2022,2,2022-02-01,200512,28306,0.14116860836259176,5944,0.029644111075646344
2022,1,2022-01-01,184112,20892,0.11347440688276701,419,0.002275788650386721
2021,12,2021-12-01,227630,48436,0.2127839037033783,6662,0.02926679260202961
2021,11,2021-11-01,198258,40270,0.2031191679528695,5613,0.02831159398359713
2021,10,2021-10-01,178683,30560,0.17102914099270775,1469,0.00822126335465601
2021,9,2021-09-01,196972,33655,0.17086184838454196,7903,0.04012245395284609
2021,8,2021-08-01,193307,28860,0.14929619724065865,3810,0.019709581132602544
