"jahr","monat","monat_name","tesla_neuzulassungen"
2021,1,"Januar",453
2021,2,"Februar",1918
2021,3,"März",3703
2021,4,"April",484
2021,5,"Mai",2744
2021,6,"Juni",4466
2021,7,"Juli",489
2021,8,"August",3810
2021,9,"September",7903
2021,10,"Oktober",1469
2021,11,"November",5613
2021,12,"Dezember",6662
2022,1,"Januar",419
2022,2,"Februar",5944
2022,3,"März",8045
2022,4,"April",650
2022,5,"Mai",293
2022,6,"Juni",2908
2022,7,"Juli",1184
2022,8,"August",5291
2022,9,"September",13724
2022,10,"Oktober",3185
2022,11,"November",10819
2022,12,"Dezember",17501
2023,1,"Januar",4241
2023,2,"Februar",7711
2023,3,"März",8703
2023,4,"April",2420
2023,5,"Mai",5265
2023,6,"Juni",8044
2023,7,"Juli",3905
2023,8,"August",6903
2023,9,"September",4216
2023,10,"Oktober",3353
2023,11,"November",4923
2023,12,"Dezember",4001
2024,1,Januar,3152
2024,2,Februar,6038
2024,3,März,3878
2024,4,April,1637
2024,5,Mai,1896
2024,6,Juni,4648
2024,7,Juli,2470
2024,8,August,2370
2024,9,September,3758
2024,10,Oktober,1614
2024,11,November,2208
2024,12,Dezember,3905
2025,1,Januar,1277
2025,2,Februar,1429
2025,3,März,2229
2025,4,April,885
2025,5,Mai,1210
2025,6,Juni,1860
2025,7,Juli,1110
2025,8,August,1441
2025,9,September,3404
2025,10,Oktober,750
2025,11,November,1763
2025,12,Dezember,2032
2026,1,Januar,1301
2026,2,Februar,2276
2026,3,März,9252
